,calorie requirement,average sleep duration,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,year,species_Adelie,species_Chinstrap,species_Gentoo,island_Biscoe,island_Dream,island_Torgersen,gender_Female,gender_Male
0,6563,11,39.1,18.7,181.0,3750.0,2007.0,1.0,False,False,False,False,True,False,True
1,4890,14,39.5,17.4,186.0,3800.0,2007.0,1.0,False,False,False,False,True,True,False
2,7184,11,40.3,18.0,195.0,3250.0,2007.0,1.0,False,False,False,False,True,True,False
3,4169,8,45.49421364985163,18.018318318318318,190.0,992.0,2007.0,1.0,False,False,False,False,True,True,False
4,4774,8,36.7,19.3,193.0,3450.0,2007.0,1.0,False,False,False,False,True,True,False
5,4403,13,39.3,20.6,190.0,3650.0,2007.0,1.0,False,False,False,False,True,False,True
6,5071,11,38.9,17.8,181.0,3625.0,2007.0,1.0,False,False,False,False,True,True,False
7,6799,9,39.2,19.6,195.0,4675.0,2007.0,1.0,False,False,False,False,True,False,True
8,5593,8,34.1,18.1,193.0,3475.0,2007.0,1.0,False,False,False,False,True,False,True
9,6275,7,42.0,20.2,190.0,4250.0,2007.0,1.0,False,False,False,False,True,False,True
10,5135,10,37.8,17.1,186.0,3300.0,2007.0,1.0,False,False,False,False,True,False,True
11,6021,7,37.8,17.3,180.0,3700.0,2007.0,1.0,False,False,False,False,True,False,True
12,6644,12,41.1,17.6,182.0,3200.0,2007.0,1.0,False,False,False,False,True,True,False
13,4812,10,38.6,21.2,191.0,3800.0,2007.0,1.0,False,False,False,False,True,False,True
14,4615,9,34.6,21.1,198.0,4400.0,2007.0,1.0,False,False,False,False,True,False,True
15,7028,10,36.6,17.8,185.0,3700.0,2007.0,1.0,False,False,False,False,True,True,False
16,3991,12,38.7,19.0,195.0,3450.0,2007.0,1.0,False,False,False,False,True,True,False
17,6543,8,82.4,20.7,197.0,4500.0,2007.0,1.0,False,False,False,False,True,True,False
18,5553,8,34.4,18.4,184.0,3325.0,2007.0,1.0,False,False,False,False,True,True,False
19,7133,7,46.0,21.5,194.0,4200.0,2007.0,1.0,False,False,False,False,True,False,True
20,4152,7,37.8,18.3,174.0,3400.0,2007.0,1.0,False,False,True,False,False,True,False
21,4138,8,82.47,18.7,180.0,3600.0,2007.0,1.0,False,False,True,False,False,False,True
22,4017,12,35.9,19.2,189.0,3800.0,2007.0,1.0,False,False,True,False,False,True,False
23,4538,11,38.2,18.1,185.0,3950.0,2007.0,1.0,False,False,True,False,False,False,True
24,6703,10,38.8,17.2,180.0,3800.0,2007.0,1.0,False,False,True,False,False,False,True
25,5974,13,35.3,18.9,187.0,3800.0,2007.0,1.0,False,False,True,False,False,True,False
26,5039,8,40.6,18.6,183.0,3550.0,2007.0,1.0,False,False,True,False,False,False,True
27,6550,8,40.5,17.9,187.0,3200.0,2007.0,1.0,False,False,True,False,False,True,False
28,3900,11,37.9,18.6,172.0,3150.0,2007.0,1.0,False,False,True,False,False,True,False
29,5254,7,40.5,18.9,180.0,3950.0,2007.0,1.0,False,False,True,False,False,False,True
30,5501,11,39.5,16.7,178.0,3250.0,2007.0,1.0,False,False,False,True,False,True,False
31,3668,10,37.2,18.1,178.0,3900.0,2007.0,1.0,False,False,False,True,False,False,True
32,6701,9,39.5,17.8,188.0,3300.0,2007.0,1.0,False,False,False,True,False,True,False
33,6745,10,40.9,18.9,184.0,3900.0,2007.0,1.0,False,False,False,True,False,False,True
34,4519,14,36.4,17.0,195.0,3325.0,2007.0,1.0,False,False,False,True,False,True,False
35,4059,12,39.2,21.1,196.0,4150.0,2007.0,1.0,False,False,False,True,False,False,True
36,3758,7,38.8,89.21,190.0,3950.0,2007.0,1.0,False,False,False,True,False,False,True
37,6982,9,42.2,18.5,180.0,3550.0,2007.0,1.0,False,False,False,True,False,True,False
38,5319,7,37.6,19.3,181.0,3300.0,2007.0,1.0,False,False,False,True,False,True,False
39,4416,7,39.8,19.1,184.0,4650.0,2007.0,1.0,False,False,False,True,False,False,True
40,6061,13,36.5,18.0,182.0,3150.0,2007.0,1.0,False,False,False,True,False,True,False
41,3828,14,40.8,18.4,195.0,3900.0,2007.0,1.0,False,False,False,True,False,False,True
42,4814,9,36.0,18.5,186.0,3100.0,2007.0,1.0,False,False,False,True,False,True,False
43,7108,12,44.1,19.7,196.0,4400.0,2007.0,1.0,False,False,False,True,False,False,True
44,3950,13,37.0,16.9,185.0,3000.0,2007.0,1.0,False,False,False,True,False,True,False
45,5642,14,39.6,18.8,190.0,4600.0,2007.0,1.0,False,False,False,True,False,False,True
46,6338,8,41.1,19.0,182.0,3425.0,2007.0,1.0,False,False,False,True,False,False,True
47,5939,7,37.5,18.9,179.0,2975.0,2007.0,1.0,False,False,False,True,False,False,True
48,4650,7,36.0,17.9,190.0,3450.0,2007.0,1.0,False,False,False,True,False,True,False
49,5803,12,42.3,21.2,191.0,4150.0,2007.0,1.0,False,False,False,True,False,False,True
50,3970,8,39.6,17.7,186.0,3500.0,2008.0,1.0,False,False,True,False,False,True,False
51,4640,8,40.1,18.9,188.0,4300.0,2008.0,1.0,False,False,True,False,False,False,True
52,3573,8,35.0,17.9,190.0,3450.0,2008.0,1.0,False,False,True,False,False,True,False
53,5575,14,42.0,19.5,200.0,4050.0,2008.0,1.0,False,False,True,False,False,False,True
54,6267,9,34.5,18.1,187.0,2900.0,2008.0,1.0,False,False,True,False,False,True,False
55,5821,13,41.4,18.6,191.0,3700.0,2008.0,1.0,False,False,True,False,False,False,True
56,4840,10,39.0,17.5,186.0,3550.0,2008.0,1.0,False,False,True,False,False,True,False
57,6242,7,40.6,18.8,193.0,3800.0,2008.0,1.0,False,False,True,False,False,False,True
58,4590,10,36.5,16.6,181.0,2850.0,2008.0,1.0,False,False,True,False,False,True,False
59,4993,13,37.6,19.1,194.0,3750.0,2008.0,1.0,False,False,True,False,False,False,True
